@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
445,'2018/06/18 16:37:30:066',9,0,0,0,1,0,0,0,0,1,0
446,'2018/06/18 16:37:30:116',9,0,0,0,1,0,0,0,0,1,0
447,'2018/06/18 16:37:30:167',9,0,0,0,1,0,0,0,0,1,0
448,'2018/06/18 16:37:30:217',9,0,0,0,1,0,0,0,0,1,0
449,'2018/06/18 16:37:30:267',9,0,0,0,1,0,0,0,0,1,0
450,'2018/06/18 16:37:30:317',9,0,0,0,1,0,0,0,0,1,0
451,'2018/06/18 16:37:30:367',9,0,0,0,1,0,0,0,0,1,0
452,'2018/06/18 16:37:30:417',9,0,0,0,1,0,0,0,0,1,0
453,'2018/06/18 16:37:30:467',9,0,0,0,1,0,0,0,0,1,0
454,'2018/06/18 16:37:30:517',9,0,0,0,1,0,0,0,0,1,0
455,'2018/06/18 16:37:30:568',9,0,0,0,1,0,0,0,0,1,0
456,'2018/06/18 16:37:30:618',9,0,0,0,1,0,0,0,0,1,0
457,'2018/06/18 16:37:30:669',9,0,0,0,1,0,0,0,0,1,0
458,'2018/06/18 16:37:30:719',9,0,0,0,1,0,0,0,0,1,0
459,'2018/06/18 16:37:30:769',9,0,0,0,1,0,0,0,0,1,0
460,'2018/06/18 16:37:30:819',9,0,0,0,1,0,0,0,0,1,0
461,'2018/06/18 16:37:30:870',9,0,0,0,1,0,0,0,0,1,0
462,'2018/06/18 16:37:30:920',9,0,0,0,1,0,0,0,0,1,0
463,'2018/06/18 16:37:40:240',10,0,0,0,0,1,0,0,0,0,2
464,'2018/06/18 16:37:40:290',10,0,0,0,0,1,0,0,0,0,2
465,'2018/06/18 16:37:40:340',10,0,0,0,0,1,0,0,0,0,2
466,'2018/06/18 16:37:40:391',10,0,0,0,0,1,0,0,0,0,2
467,'2018/06/18 16:37:40:441',10,0,0,0,0,1,0,0,0,0,2
468,'2018/06/18 16:37:40:491',10,0,0,0,0,1,0,0,0,0,2
469,'2018/06/18 16:37:40:542',10,0,0,0,0,1,0,0,0,0,2
470,'2018/06/18 16:37:40:592',10,0,0,0,0,1,0,0,0,0,2
471,'2018/06/18 16:37:40:642',10,0,0,0,0,1,0,0,0,0,2
472,'2018/06/18 16:37:40:692',10,0,0,0,0,1,0,0,0,0,2
473,'2018/06/18 16:37:40:743',10,0,0,0,0,1,0,0,0,0,2
474,'2018/06/18 16:37:40:793',10,0,0,0,0,1,0,0,0,0,2
475,'2018/06/18 16:37:40:843',10,0,0,0,0,1,0,0,0,0,2
476,'2018/06/18 16:37:40:893',10,0,0,0,0,1,0,0,0,0,2
477,'2018/06/18 16:37:40:943',10,0,0,0,0,1,0,0,0,0,2
478,'2018/06/18 16:37:40:993',10,0,0,0,0,1,0,0,0,0,2
479,'2018/06/18 16:37:41:043',10,0,0,0,0,1,0,0,0,0,2
480,'2018/06/18 16:37:41:093',10,0,0,0,0,1,0,0,0,0,2
481,'2018/06/18 16:37:41:143',10,0,0,0,0,1,0,0,0,0,2
482,'2018/06/18 16:37:41:193',10,0,0,0,0,1,0,0,0,0,2
483,'2018/06/18 16:37:41:243',10,0,0,0,0,1,0,0,0,0,2
484,'2018/06/18 16:37:41:293',10,0,0,0,0,1,0,0,0,0,2
485,'2018/06/18 16:37:41:343',10,0,0,0,0,1,0,0,0,0,2
486,'2018/06/18 16:37:41:394',10,0,0,0,0,1,0,0,0,0,2
487,'2018/06/18 16:37:41:444',10,0,0,0,0,1,0,0,0,0,2
488,'2018/06/18 16:37:41:494',10,0,0,0,0,1,0,0,0,0,2
489,'2018/06/18 16:37:41:544',10,0,0,0,0,1,0,0,0,0,2
490,'2018/06/18 16:37:41:594',10,0,0,0,0,1,0,0,0,0,2
491,'2018/06/18 16:37:41:644',10,0,0,0,0,1,0,0,0,0,2
492,'2018/06/18 16:37:41:694',10,0,0,0,0,1,0,0,0,0,2
493,'2018/06/18 16:37:41:746',10,0,0,0,0,1,0,0,0,0,2
494,'2018/06/18 16:37:41:796',10,0,0,0,0,1,0,0,0,0,2
495,'2018/06/18 16:37:41:847',10,0,0,0,0,1,0,0,0,0,2
496,'2018/06/18 16:37:41:897',10,0,0,0,0,1,0,0,0,0,2
497,'2018/06/18 16:37:41:947',10,0,0,0,0,1,0,0,0,0,2
498,'2018/06/18 16:37:41:997',10,0,0,0,0,1,0,0,0,0,2
499,'2018/06/18 16:37:42:047',10,0,0,0,0,1,0,0,0,0,2
500,'2018/06/18 16:37:42:097',10,0,0,0,0,1,0,0,0,0,2
501,'2018/06/18 16:37:42:148',10,0,0,0,0,1,0,0,0,0,2
502,'2018/06/18 16:37:42:198',10,0,0,0,0,1,0,0,0,0,2
503,'2018/06/18 16:37:42:249',10,0,0,0,0,1,0,0,0,0,2
504,'2018/06/18 16:37:42:299',10,0,0,0,0,1,0,0,0,0,2
505,'2018/06/18 16:37:42:349',10,0,0,0,0,1,0,0,0,0,2
506,'2018/06/18 16:37:42:399',10,0,0,0,0,1,0,0,0,0,2
507,'2018/06/18 16:37:42:449',10,0,0,0,0,1,0,0,0,0,2
508,'2018/06/18 16:37:42:500',10,0,0,0,0,1,0,0,0,0,2
509,'2018/06/18 16:37:42:550',10,0,0,0,0,1,0,0,0,0,2
510,'2018/06/18 16:37:42:600',10,0,0,0,0,1,0,0,0,0,2
511,'2018/06/18 16:37:42:650',10,0,0,0,0,1,0,0,0,0,2
512,'2018/06/18 16:37:42:700',10,0,0,0,0,1,0,0,0,0,2
513,'2018/06/18 16:37:42:751',10,0,0,0,0,1,0,0,0,0,2
514,'2018/06/18 16:37:42:801',10,0,0,0,0,1,0,0,0,0,2
515,'2018/06/18 16:37:42:851',10,0,0,0,0,1,0,0,0,0,2
516,'2018/06/18 16:37:42:901',10,0,0,0,0,1,0,0,0,0,2
517,'2018/06/18 16:37:53:981',11,0,0,0,0,0,0,0,0,0,0
518,'2018/06/18 16:37:54:031',11,0,0,0,0,0,0,0,0,0,0
519,'2018/06/18 16:37:54:081',11,0,0,0,0,0,0,0,0,0,0
520,'2018/06/18 16:37:54:132',11,0,0,0,0,0,0,0,0,0,0
521,'2018/06/18 16:37:54:182',11,0,0,0,0,0,0,0,0,0,0
522,'2018/06/18 16:37:54:232',11,0,0,0,0,0,0,0,0,0,0
523,'2018/06/18 16:37:54:282',11,0,0,0,0,0,0,0,0,0,0
524,'2018/06/18 16:37:54:332',11,0,0,0,0,0,0,0,0,0,0
525,'2018/06/18 16:37:54:382',11,0,0,0,0,0,0,0,0,0,0
526,'2018/06/18 16:37:54:433',11,0,0,0,0,0,0,0,0,0,0
527,'2018/06/18 16:37:54:483',11,0,0,0,0,0,0,0,0,0,0
528,'2018/06/18 16:37:54:533',11,0,0,0,0,0,0,0,0,0,0
529,'2018/06/18 16:37:54:583',11,0,0,0,0,0,0,0,0,0,0
530,'2018/06/18 16:37:54:633',11,0,0,0,0,0,0,0,0,0,0
531,'2018/06/18 16:37:54:683',11,0,0,0,0,0,0,0,0,0,0
532,'2018/06/18 16:37:54:733',11,0,0,0,0,0,0,0,0,0,0
533,'2018/06/18 16:37:54:783',11,0,0,0,0,0,0,0,0,0,0
534,'2018/06/18 16:37:54:834',11,0,0,0,0,0,0,0,0,0,0
535,'2018/06/18 16:37:54:884',11,0,0,0,0,0,0,0,0,0,0
536,'2018/06/18 16:37:54:934',11,0,0,0,0,0,0,0,0,0,0
537,'2018/06/18 16:37:54:984',11,0,0,0,0,0,0,0,0,0,0
538,'2018/06/18 16:37:55:035',11,0,0,0,0,0,0,0,0,0,0
539,'2018/06/18 16:37:55:085',11,0,0,0,0,0,0,0,0,0,0
540,'2018/06/18 16:37:55:135',11,0,0,0,0,0,0,0,0,0,0
541,'2018/06/18 16:37:55:185',11,0,0,0,0,0,0,0,0,0,0
542,'2018/06/18 16:37:55:236',11,0,0,0,0,0,0,0,0,0,0
543,'2018/06/18 16:37:55:286',11,0,0,0,0,0,0,0,0,0,0
544,'2018/06/18 16:37:55:336',11,0,0,0,0,0,0,0,0,0,0
545,'2018/06/18 16:37:55:386',11,0,0,0,0,0,0,0,0,0,0
546,'2018/06/18 16:37:55:437',11,0,0,0,0,0,0,0,0,0,0
547,'2018/06/18 16:37:55:487',11,0,0,0,0,0,0,0,0,0,0
548,'2018/06/18 16:37:55:537',11,0,0,0,0,0,0,0,0,0,0
549,'2018/06/18 16:37:55:587',11,0,0,0,0,0,0,0,0,0,0
550,'2018/06/18 16:37:55:637',11,0,0,0,0,0,0,0,0,0,0
551,'2018/06/18 16:37:55:688',11,0,0,0,0,0,0,0,0,0,0
552,'2018/06/18 16:37:55:738',11,0,0,0,0,0,0,0,0,0,0
553,'2018/06/18 16:37:55:788',11,0,0,0,0,0,0,0,0,0,0
554,'2018/06/18 16:37:55:838',11,0,0,0,0,0,0,0,0,0,0
555,'2018/06/18 16:37:55:889',11,0,0,0,0,0,0,0,0,0,0
556,'2018/06/18 16:37:55:939',11,0,0,0,0,0,0,0,0,0,0
557,'2018/06/18 16:37:55:989',11,0,0,0,0,0,0,0,0,0,0
558,'2018/06/18 16:37:56:039',11,0,0,0,0,0,0,0,0,0,0
559,'2018/06/18 16:37:56:089',11,0,0,0,0,0,0,0,0,0,0
560,'2018/06/18 16:37:56:139',11,0,0,0,0,0,0,0,0,0,0
561,'2018/06/18 16:37:56:189',11,0,0,0,0,0,0,0,0,0,0
562,'2018/06/18 16:37:56:239',11,0,0,0,0,0,0,0,0,0,0
563,'2018/06/18 16:37:56:289',11,0,0,0,0,0,0,0,0,0,0
564,'2018/06/18 16:37:56:339',11,0,0,0,0,0,0,0,0,0,0
565,'2018/06/18 16:37:56:389',11,0,0,0,0,0,0,0,0,0,0
566,'2018/06/18 16:37:56:439',11,0,0,0,0,0,0,0,0,0,0
567,'2018/06/18 16:37:56:489',11,0,0,0,0,0,0,0,0,0,0
